"MeanDecreaseGini","genes"
0.835495277164124,"hsa.let.7a.1"
1.27567405401238,"hsa.let.7a.2"
1.92819736558826,"hsa.let.7a.3"
1.03300267777026,"hsa.let.7b"
0.723820751192649,"hsa.let.7c"
0.342753784177173,"hsa.let.7d"
0.37394213110541,"hsa.let.7e"
1.13735323800993,"hsa.let.7f.1"
0.473797083017689,"hsa.let.7f.2"
0.54226889002226,"hsa.let.7g"
0.130003095975232,"hsa.let.7i"
0.266148444961018,"hsa.mir.1.1"
0.698600214089969,"hsa.mir.1.2"
1.09378067516742,"hsa.mir.100"
1.14806306612434,"hsa.mir.101.1"
1.73057478119057,"hsa.mir.101.2"
2.12847781891784,"hsa.mir.103a.1"
3.19285694543345,"hsa.mir.103a.2"
0,"hsa.mir.103b.1"
0,"hsa.mir.103b.2"
0.0633333333333333,"hsa.mir.105.1"
0.137219809896061,"hsa.mir.105.2"
0.175645793999019,"hsa.mir.106a"
0.24353723155929,"hsa.mir.106b"
0.91629945840149,"hsa.mir.107"
0.290667711274925,"hsa.mir.10a"
0.404185537099548,"hsa.mir.10b"
0,"hsa.mir.1178"
0.0192307692307692,"hsa.mir.1179"
0.702454299915463,"hsa.mir.1180"
0.0195238095238095,"hsa.mir.1181"
0,"hsa.mir.1182"
0,"hsa.mir.1183"
0,"hsa.mir.1184.1"
0,"hsa.mir.1184.2"
0,"hsa.mir.1184.3"
0.375796855733529,"hsa.mir.1185.1"
0.0333333333333333,"hsa.mir.1185.2"
0,"hsa.mir.1193"
0,"hsa.mir.1197"
0.015,"hsa.mir.1199"
0,"hsa.mir.1200"
0,"hsa.mir.1202"
0.182869650714283,"hsa.mir.1203"
0,"hsa.mir.1204"
0,"hsa.mir.1205"
0,"hsa.mir.1206"
0,"hsa.mir.1207"
0,"hsa.mir.1208"
0.100146597376199,"hsa.mir.122"
0.491127034778567,"hsa.mir.1224"
0,"hsa.mir.1225"
0.773803058357302,"hsa.mir.1226"
0,"hsa.mir.1227"
0.290307441180874,"hsa.mir.1228"
0.911278790207222,"hsa.mir.1229"
0.0183492063492064,"hsa.mir.1231"
0,"hsa.mir.1233.1"
0,"hsa.mir.1233.2"
0.037321033069155,"hsa.mir.1234"
0.0350950358261463,"hsa.mir.1236"
0,"hsa.mir.1237"
0.0519469913027081,"hsa.mir.1238"
0.0200892857142857,"hsa.mir.124.1"
0.036,"hsa.mir.124.2"
0.00157817109144531,"hsa.mir.124.3"
0.114918375157181,"hsa.mir.1243"
0,"hsa.mir.1244.1"
0,"hsa.mir.1244.2"
0,"hsa.mir.1244.3"
0,"hsa.mir.1244.4"
0.351988203443628,"hsa.mir.1245a"
0.0639944295832432,"hsa.mir.1245b"
0,"hsa.mir.1246"
0.272457893241853,"hsa.mir.1247"
0.206901123863892,"hsa.mir.1248"
0.343851855161396,"hsa.mir.1249"
0.0835375501599953,"hsa.mir.1250"
0.0616977225672878,"hsa.mir.1251"
0.0708486722819107,"hsa.mir.1252"
0,"hsa.mir.1253"
0.1558560010266,"hsa.mir.1254.1"
0.0582857142857143,"hsa.mir.1254.2"
0.147660755488423,"hsa.mir.1255a"
0,"hsa.mir.1255b.1"
0,"hsa.mir.1255b.2"
0.0357142857142857,"hsa.mir.1256"
0,"hsa.mir.1257"
0.107205461115381,"hsa.mir.1258"
0.302191013004233,"hsa.mir.125a"
0.303558982005452,"hsa.mir.125b.1"
0.478856180706553,"hsa.mir.125b.2"
0.31332171574574,"hsa.mir.126"
0,"hsa.mir.1260a"
0.0221390021171043,"hsa.mir.1260b"
0,"hsa.mir.1261"
0.185301998073883,"hsa.mir.1262"
0,"hsa.mir.1263"
0.110181989895478,"hsa.mir.1264"
0.222153484577944,"hsa.mir.1265"
0.359970181898795,"hsa.mir.1266"
0.102954885446673,"hsa.mir.1267"
0,"hsa.mir.1268a"
0,"hsa.mir.1268b"
0.251443191450041,"hsa.mir.1269a"
0.338521591693872,"hsa.mir.1269b"
0.608460720893715,"hsa.mir.127"
0.406620550515018,"hsa.mir.1270"
0.217748011155359,"hsa.mir.1271"
0,"hsa.mir.1272"
0,"hsa.mir.1273a"
0.0177777777777778,"hsa.mir.1273c"
0,"hsa.mir.1273d"
0,"hsa.mir.1273e"
0,"hsa.mir.1273f"
0,"hsa.mir.1273g"
0,"hsa.mir.1273h"
0.0609138963761604,"hsa.mir.1275"
0.0818181818181818,"hsa.mir.1276"
0.348320604000421,"hsa.mir.1277"
0.0365772932161371,"hsa.mir.1278"
0,"hsa.mir.1279"
0.463550789021193,"hsa.mir.128.1"
0.382141657511372,"hsa.mir.128.2"
0,"hsa.mir.1281"
0,"hsa.mir.1282"
0,"hsa.mir.1283.1"
0.223384846020254,"hsa.mir.1283.2"
0.202307936507936,"hsa.mir.1284"
0.0178062678062678,"hsa.mir.1285.1"
0,"hsa.mir.1285.2"
0,"hsa.mir.1286"
0.25643442555556,"hsa.mir.1287"
0.157728145106864,"hsa.mir.1288"
0,"hsa.mir.1289.1"
0.0171428571428571,"hsa.mir.1289.2"
0.279709414555521,"hsa.mir.129.1"
0.239250682647142,"hsa.mir.129.2"
0,"hsa.mir.1290"
0.0940424982116465,"hsa.mir.1291"
0.23247168149761,"hsa.mir.1292"
0.00147951273532669,"hsa.mir.1293"
0.118247451894511,"hsa.mir.1294"
0.0782539682539682,"hsa.mir.1295a"
0.0133333333333333,"hsa.mir.1295b"
0.293079950328305,"hsa.mir.1296"
0,"hsa.mir.1297"
0.062201269754673,"hsa.mir.1298"
0,"hsa.mir.1299"
1.3695989172205,"hsa.mir.1301"
0,"hsa.mir.1302.1"
0,"hsa.mir.1302.10"
0,"hsa.mir.1302.11"
0,"hsa.mir.1302.2"
0.022089390267341,"hsa.mir.1302.3"
0,"hsa.mir.1302.4"
0,"hsa.mir.1302.5"
0,"hsa.mir.1302.6"
0,"hsa.mir.1302.7"
0,"hsa.mir.1302.8"
0,"hsa.mir.1302.9"
0.036,"hsa.mir.1303"
0.329681032269349,"hsa.mir.1304"
0.216069155841119,"hsa.mir.1305"
2.68482064917104,"hsa.mir.1306"
1.18519691766715,"hsa.mir.1307"
0.232889036606819,"hsa.mir.130a"
0.626812081321815,"hsa.mir.130b"
0.41235455160529,"hsa.mir.132"
0,"hsa.mir.1321"
0,"hsa.mir.1322"
0.00171830985915491,"hsa.mir.1323"
0,"hsa.mir.1324"
0.233943460587309,"hsa.mir.133a.1"
0.246891223598064,"hsa.mir.133a.2"
0.137884615384615,"hsa.mir.133b"
0.249073757416072,"hsa.mir.134"
0.494896336713093,"hsa.mir.1343"
0.181032109445011,"hsa.mir.135a.1"
0.153628160264773,"hsa.mir.135a.2"
0.298129455336062,"hsa.mir.135b"
0.25400648162041,"hsa.mir.136"
0.0722729353026836,"hsa.mir.137"
0.155177865612648,"hsa.mir.138.1"
0.0419133771929825,"hsa.mir.138.2"
1.06012750686389,"hsa.mir.139"
1.76865074196269,"hsa.mir.140"
0.273867941414853,"hsa.mir.141"
0.386286563286973,"hsa.mir.142"
0.744148804386874,"hsa.mir.143"
0.343163833407252,"hsa.mir.144"
0.169229304793343,"hsa.mir.145"
0.370831036451021,"hsa.mir.1468"
0,"hsa.mir.1469"
0.46338353087042,"hsa.mir.146a"
0.597333792699188,"hsa.mir.146b"
0,"hsa.mir.1470"
0,"hsa.mir.1471"
0.01776955602537,"hsa.mir.147a"
0.597258283990467,"hsa.mir.147b"
0.461961394969758,"hsa.mir.148a"
0.434601937498308,"hsa.mir.148b"
0.0780375462718139,"hsa.mir.149"
0.313149847901641,"hsa.mir.150"
0.128791905319497,"hsa.mir.151a"
0.0900187969924812,"hsa.mir.151b"
0.425610306985175,"hsa.mir.152"
0.157391444713479,"hsa.mir.153.1"
0.355697688920985,"hsa.mir.153.2"
0.0619047619047619,"hsa.mir.1537"
0.0328073746998217,"hsa.mir.1538"
0,"hsa.mir.1539"
0.239291982180296,"hsa.mir.154"
0.196987325811907,"hsa.mir.155"
0,"hsa.mir.1587"
1.24722144722927,"hsa.mir.15a"
0.290581596848827,"hsa.mir.15b"
0.523306212667425,"hsa.mir.16.1"
0.444153524836184,"hsa.mir.16.2"
0.171398621680959,"hsa.mir.17"
1.78949399630263,"hsa.mir.181a.1"
1.15357564630729,"hsa.mir.181a.2"
1.22167212614126,"hsa.mir.181b.1"
1.47716893429983,"hsa.mir.181b.2"
0.36200103208317,"hsa.mir.181c"
0.673101276200637,"hsa.mir.181d"
1.18612174201329,"hsa.mir.182"
0,"hsa.mir.1825"
0,"hsa.mir.1827"
0.251025433834574,"hsa.mir.183"
1.51663439198357,"hsa.mir.184"
0.653611469109013,"hsa.mir.185"
0.520177559412598,"hsa.mir.186"
0.486486830088747,"hsa.mir.187"
0.416626831548405,"hsa.mir.188"
0.338331064193389,"hsa.mir.18a"
0.0773062558356676,"hsa.mir.18b"
0.0501070133963751,"hsa.mir.1908"
0.0455211408127333,"hsa.mir.1909"
1.0933581555129,"hsa.mir.190a"
1.57536671307779,"hsa.mir.190b"
0.237524513246778,"hsa.mir.191"
0.0757142857142857,"hsa.mir.1910"
0.157089381431871,"hsa.mir.1911"
0.160527672125681,"hsa.mir.1912"
0.0162021799338873,"hsa.mir.1913"
0.0133333333333333,"hsa.mir.1914"
0.00261022927689595,"hsa.mir.1915"
0.249405266955267,"hsa.mir.192"
0.512416897618139,"hsa.mir.193a"
0.451898200108162,"hsa.mir.193b"
0.580237507223213,"hsa.mir.194.1"
0.414203940266263,"hsa.mir.194.2"
0.681233821249062,"hsa.mir.195"
0.274646754803759,"hsa.mir.196a.1"
0.743787410799526,"hsa.mir.196a.2"
0.868614727018422,"hsa.mir.196b"
1.10795646375359,"hsa.mir.197"
0,"hsa.mir.1972.1"
0,"hsa.mir.1972.2"
0,"hsa.mir.1973"
0.172786434484054,"hsa.mir.1976"
0.098847086904309,"hsa.mir.198"
0.380549607311253,"hsa.mir.199a.1"
0.692739352400511,"hsa.mir.199a.2"
0.377733647015594,"hsa.mir.199b"
0.37298069687481,"hsa.mir.19a"
0.411621594010199,"hsa.mir.19b.1"
0.417039964618387,"hsa.mir.19b.2"
0.354384929426036,"hsa.mir.200a"
0.593247144319678,"hsa.mir.200b"
0.495198796672923,"hsa.mir.200c"
0.541837254869501,"hsa.mir.202"
0.586974441591317,"hsa.mir.203a"
0.311669946228894,"hsa.mir.203b"
0.679739522393367,"hsa.mir.204"
0.579297081589488,"hsa.mir.205"
0,"hsa.mir.2052"
0,"hsa.mir.2053"
0,"hsa.mir.2054"
0.313246816246548,"hsa.mir.206"
0,"hsa.mir.208a"
0.0193683505068276,"hsa.mir.208b"
0.402838610349675,"hsa.mir.20a"
0.335120314326196,"hsa.mir.20b"
0.734203165462579,"hsa.mir.21"
1.44224312319489,"hsa.mir.210"
0.136442232520499,"hsa.mir.211"
0.401197404241334,"hsa.mir.2110"
0,"hsa.mir.2113"
0.394637901757117,"hsa.mir.2114"
0.230544871984823,"hsa.mir.2115"
0.11301945322987,"hsa.mir.2116"
0.0816390993916237,"hsa.mir.2117"
0.180468090301276,"hsa.mir.212"
0.457867464851879,"hsa.mir.214"
0.15323103115434,"hsa.mir.215"
0.357228803711548,"hsa.mir.216a"
0.015,"hsa.mir.216b"
0.417600652773696,"hsa.mir.217"
0.882862747515083,"hsa.mir.218.1"
0.565791474119259,"hsa.mir.218.2"
0.267124172191907,"hsa.mir.219a.1"
0.281701474098244,"hsa.mir.219a.2"
0.160291449527118,"hsa.mir.219b"
0.191340571823933,"hsa.mir.22"
0.166891261440495,"hsa.mir.221"
0.463812892408143,"hsa.mir.222"
0.424209647989166,"hsa.mir.223"
