"total_size","draw","method","accuracy","auc"
20,1,"LOGIS",0.8,0.85
20,1,"SVM",0.9,0.95
20,1,"KNN",0.5,0
20,1,"RF",0.9,1
20,1,"XGB",0.95,0.95
20,2,"LOGIS",0.95,0.9
20,2,"SVM",0.85,0.9
20,2,"KNN",0.35,0
20,2,"RF",0.95,0.9
20,2,"XGB",0.9,0.9
20,3,"LOGIS",0.85,0.9
20,3,"SVM",0.8,0.9
20,3,"KNN",0.6,0
20,3,"RF",0.85,0.95
20,3,"XGB",0.8,0.85
20,4,"LOGIS",0.45,0.35
20,4,"SVM",0.35,0.3
20,4,"KNN",0.55,0
20,4,"RF",0.55,0.5
20,4,"XGB",0.55,0.6
20,5,"LOGIS",0.7,0.8
20,5,"SVM",0.7,0.85
20,5,"KNN",0.75,0
20,5,"RF",0.75,0.85
20,5,"XGB",0.75,0.8
20,6,"LOGIS",0.75,0.75
20,6,"SVM",0.7,0.8
20,6,"KNN",0.65,0
20,6,"RF",0.8,0.9
20,6,"XGB",0.85,0.9
20,7,"LOGIS",0.7,0.65
20,7,"SVM",0.45,0.45
20,7,"KNN",0.4,0
20,7,"RF",0.65,0.65
20,7,"XGB",0.75,0.85
20,8,"LOGIS",0.75,0.85
20,8,"SVM",0.4,0.35
20,8,"KNN",0.4,0
20,8,"RF",0.7,0.75
20,8,"XGB",0.6,0.675
20,9,"LOGIS",0.75,0.75
20,9,"SVM",0.5,0.7
20,9,"KNN",0.55,0
20,9,"RF",0.5,0.775
20,9,"XGB",0.7,0.9
20,10,"LOGIS",0.9,0.9
20,10,"SVM",0.65,0.75
20,10,"KNN",0.3,0
20,10,"RF",0.95,0.95
20,10,"XGB",0.9,0.9
20,11,"LOGIS",0.6,0.65
20,11,"SVM",0.45,0.4
20,11,"KNN",0.4,0
20,11,"RF",0.55,0.6
20,11,"XGB",0.55,0.65
20,12,"LOGIS",0.75,0.9
20,12,"SVM",0.85,0.85
20,12,"KNN",0.25,0
20,12,"RF",0.85,0.9
20,12,"XGB",0.9,0.9
20,13,"LOGIS",0.7,0.85
20,13,"SVM",0.55,0.75
20,13,"KNN",0.45,0
20,13,"RF",0.9,0.95
20,13,"XGB",0.9,1
20,14,"LOGIS",0.5,0.45
20,14,"SVM",0.6,0.5
20,14,"KNN",0.5,0
20,14,"RF",0.4,0.25
20,14,"XGB",0.55,0.55
20,15,"LOGIS",0.6,0.7
20,15,"SVM",0.45,0.4
20,15,"KNN",0.55,0
20,15,"RF",0.65,0.65
20,15,"XGB",0.65,0.675
20,16,"LOGIS",0.75,0.9
20,16,"SVM",0.45,0.5
20,16,"KNN",0.45,0
20,16,"RF",0.7,0.75
20,16,"XGB",0.85,0.9
20,17,"LOGIS",0.7,0.65
20,17,"SVM",0.65,0.75
20,17,"KNN",0.45,0
20,17,"RF",0.55,0.75
20,17,"XGB",0.55,0.65
20,18,"LOGIS",0.65,0.7
20,18,"SVM",0.25,0.15
20,18,"KNN",0.7,0
20,18,"RF",0.45,0.5
20,18,"XGB",0.5,0.6
20,19,"LOGIS",0.45,0.65
20,19,"SVM",0.5,0.35
20,19,"KNN",0.55,0
20,19,"RF",0.6,0.7
20,19,"XGB",0.45,0.5
20,20,"LOGIS",0.75,0.9
20,20,"SVM",0.65,0.75
20,20,"KNN",0.4,0
20,20,"RF",0.75,0.85
20,20,"XGB",0.65,0.8
20,21,"LOGIS",0.75,0.8
20,21,"SVM",0.6,0.4
20,21,"KNN",0.45,0
20,21,"RF",0.65,0.75
20,21,"XGB",0.7,0.75
20,22,"LOGIS",0.9,0.95
20,22,"SVM",0.9,0.95
20,22,"KNN",0.35,0
20,22,"RF",0.85,0.95
20,22,"XGB",0.85,0.95
20,23,"LOGIS",0.9,0.9
20,23,"SVM",0.9,1
20,23,"KNN",0.6,0
20,23,"RF",0.75,0.9
20,23,"XGB",0.95,0.95
20,24,"LOGIS",0.75,0.7
20,24,"SVM",0.5,0.5
20,24,"KNN",0.65,0
20,24,"RF",0.55,0.6
20,24,"XGB",0.65,0.75
20,25,"LOGIS",0.75,0.75
20,25,"SVM",0.7,0.75
20,25,"KNN",0.45,0
20,25,"RF",0.8,0.75
20,25,"XGB",0.65,0.8
20,26,"LOGIS",0.6,0.65
20,26,"SVM",0.4,0.25
20,26,"KNN",0.55,0
20,26,"RF",0.5,0.7
20,26,"XGB",0.75,0.8
20,27,"LOGIS",0.8,0.85
20,27,"SVM",0.85,0.85
20,27,"KNN",0.6,0
20,27,"RF",0.75,0.8
20,27,"XGB",0.75,0.85
20,28,"LOGIS",0.4,0.35
20,28,"SVM",0.5,0.35
20,28,"KNN",0.75,0
20,28,"RF",0.4,0.3
20,28,"XGB",0.5,0.5
20,29,"LOGIS",0.7,0.7
20,29,"SVM",0.65,0.75
20,29,"KNN",0.6,0
20,29,"RF",0.7,0.75
20,29,"XGB",0.6,0.75
20,30,"LOGIS",0.95,0.95
20,30,"SVM",0.95,1
20,30,"KNN",0.55,0
20,30,"RF",0.9,1
20,30,"XGB",0.9,0.95
30,1,"LOGIS",0.766666666666667,0.866666666666667
30,1,"SVM",0.8,0.911111111111111
30,1,"KNN",0.5,0
30,1,"RF",0.733333333333333,0.822222222222222
30,1,"XGB",0.833333333333333,0.866666666666667
30,2,"LOGIS",0.733333333333333,0.711111111111111
30,2,"SVM",0.8,0.755555555555556
30,2,"KNN",0.666666666666667,0
30,2,"RF",0.733333333333333,0.777777777777778
30,2,"XGB",0.733333333333333,0.788888888888889
30,3,"LOGIS",0.633333333333333,0.622222222222222
30,3,"SVM",0.7,0.711111111111111
30,3,"KNN",0.466666666666667,0
30,3,"RF",0.733333333333333,0.844444444444444
30,3,"XGB",0.733333333333333,0.811111111111111
30,4,"LOGIS",0.766666666666667,0.866666666666667
30,4,"SVM",0.7,0.866666666666667
30,4,"KNN",0.733333333333333,0
30,4,"RF",0.633333333333333,0.733333333333333
30,4,"XGB",0.766666666666667,0.811111111111111
30,5,"LOGIS",0.866666666666667,0.888888888888889
30,5,"SVM",0.866666666666667,0.866666666666667
30,5,"KNN",0.8,0
30,5,"RF",0.8,0.933333333333333
30,5,"XGB",0.9,0.911111111111111
30,6,"LOGIS",0.8,0.8
30,6,"SVM",0.766666666666667,0.777777777777778
30,6,"KNN",0.666666666666667,0
30,6,"RF",0.7,0.755555555555556
30,6,"XGB",0.733333333333333,0.922222222222222
30,7,"LOGIS",0.8,0.844444444444444
30,7,"SVM",0.8,0.866666666666667
30,7,"KNN",0.533333333333333,0
30,7,"RF",0.733333333333333,0.833333333333333
30,7,"XGB",0.766666666666667,0.866666666666667
30,8,"LOGIS",0.7,0.755555555555556
30,8,"SVM",0.566666666666667,0.6
30,8,"KNN",0.566666666666667,0
30,8,"RF",0.7,0.733333333333333
30,8,"XGB",0.7,0.866666666666667
30,9,"LOGIS",0.766666666666667,0.822222222222222
30,9,"SVM",0.833333333333333,0.844444444444444
