"total_size","draw","method","accuracy","auc"
30,1,"LOGIS",0.9,0.933333333333333
30,1,"SVM",0.9,0.911111111111111
30,1,"KNN",0.5,0
30,1,"RF",0.866666666666667,0.911111111111111
30,1,"XGB",0.9,0.933333333333333
30,2,"LOGIS",0.9,0.977777777777778
30,2,"SVM",0.9,1
30,2,"KNN",0.333333333333333,0
30,2,"RF",0.933333333333333,1
30,2,"XGB",0.966666666666667,1
30,3,"LOGIS",0.933333333333333,1
30,3,"SVM",0.866666666666667,1
30,3,"KNN",0.6,0
30,3,"RF",0.866666666666667,0.955555555555556
30,3,"XGB",0.9,0.955555555555556
30,4,"LOGIS",0.933333333333333,0.933333333333333
30,4,"SVM",0.933333333333333,0.933333333333333
30,4,"KNN",0.533333333333333,0
30,4,"RF",0.933333333333333,1
30,4,"XGB",0.733333333333333,0.877777777777778
30,5,"LOGIS",0.9,0.888888888888889
30,5,"SVM",0.866666666666667,0.911111111111111
30,5,"KNN",0.566666666666667,0
30,5,"RF",0.833333333333333,0.933333333333333
30,5,"XGB",0.766666666666667,0.844444444444444
30,6,"LOGIS",0.966666666666667,1
30,6,"SVM",0.866666666666667,0.977777777777778
30,6,"KNN",0.6,0
30,6,"RF",0.9,0.944444444444444
30,6,"XGB",0.933333333333333,0.933333333333333
30,7,"LOGIS",0.866666666666667,0.955555555555556
30,7,"SVM",0.9,0.933333333333333
30,7,"KNN",0.6,0
30,7,"RF",0.8,0.9
30,7,"XGB",0.866666666666667,0.977777777777778
30,8,"LOGIS",0.966666666666667,0.955555555555556
30,8,"SVM",0.833333333333333,0.911111111111111
30,8,"KNN",0.533333333333333,0
30,8,"RF",0.866666666666667,0.933333333333333
30,8,"XGB",0.866666666666667,0.944444444444444
30,9,"LOGIS",0.933333333333333,0.911111111111111
30,9,"SVM",0.9,0.977777777777778
30,9,"KNN",0.466666666666667,0
30,9,"RF",0.866666666666667,0.955555555555556
30,9,"XGB",0.866666666666667,0.933333333333333
30,10,"LOGIS",1,1
30,10,"SVM",0.9,0.955555555555556
30,10,"KNN",0.566666666666667,0
30,10,"RF",0.966666666666667,1
30,10,"XGB",0.866666666666667,0.955555555555556
30,11,"LOGIS",0.866666666666667,0.866666666666667
30,11,"SVM",0.866666666666667,0.911111111111111
30,11,"KNN",0.6,0
30,11,"RF",0.766666666666667,0.833333333333333
30,11,"XGB",0.733333333333333,0.8
30,12,"LOGIS",0.933333333333333,0.977777777777778
30,12,"SVM",0.866666666666667,0.933333333333333
30,12,"KNN",0.466666666666667,0
30,12,"RF",0.933333333333333,1
30,12,"XGB",0.933333333333333,0.933333333333333
30,13,"LOGIS",0.9,0.977777777777778
30,13,"SVM",0.866666666666667,0.911111111111111
30,13,"KNN",0.433333333333333,0
30,13,"RF",0.866666666666667,0.911111111111111
30,13,"XGB",0.733333333333333,0.911111111111111
30,14,"LOGIS",0.966666666666667,0.955555555555556
30,14,"SVM",0.966666666666667,0.955555555555556
30,14,"KNN",0.633333333333333,0
30,14,"RF",0.933333333333333,0.933333333333333
30,14,"XGB",0.866666666666667,0.888888888888889
30,15,"LOGIS",0.933333333333333,0.955555555555556
30,15,"SVM",0.866666666666667,0.977777777777778
30,15,"KNN",0.566666666666667,0
30,15,"RF",0.9,0.977777777777778
30,15,"XGB",0.933333333333333,0.977777777777778
30,16,"LOGIS",0.9,0.911111111111111
30,16,"SVM",0.9,0.911111111111111
30,16,"KNN",0.7,0
30,16,"RF",0.866666666666667,0.955555555555556
30,16,"XGB",0.933333333333333,0.966666666666667
30,17,"LOGIS",0.933333333333333,0.933333333333333
