"type","chr","start","end","id","name"
"mirna_primary_transcript","chr1",17369,17436,"MI0022705","hsa-mir-6859-1"
"mirna_primary_transcript","chr1",30366,30503,"MI0006363","hsa-mir-1302-2"
"mirna_primary_transcript","chr1",187891,187958,"MI0026420","hsa-mir-6859-2"
"mirna","chr1",632668,632685,"MIMAT0049032","hsa-mir-12136"
"mirna_primary_transcript","chr1",1167104,1167198,"MI0000342","hsa-mir-200b"
"mirna","chr1",1167124,1167145,"MIMAT0004571","hsa-mir-200b-5p"
"mirna","chr1",1167160,1167181,"MIMAT0000318","hsa-mir-200b-3p"
"mirna_primary_transcript","chr1",1167863,1167952,"MI0000737","hsa-mir-200a"
"mirna","chr1",1167878,1167899,"MIMAT0001620","hsa-mir-200a-5p"
"mirna","chr1",1167916,1167937,"MIMAT0000682","hsa-mir-200a-3p"
"mirna","chr1",1169055,1169076,"MIMAT0001536","hsa-mir-429"
"mirna_primary_transcript","chr1",1296110,1296170,"MI0022571","hsa-mir-6726"
"mirna","chr1",1296145,1296165,"MIMAT0027353","hsa-mir-6726-5p"
"mirna","chr1",1296110,1296129,"MIMAT0027354","hsa-mir-6726-3p"
"mirna_primary_transcript","chr1",1312502,1312566,"MI0022572","hsa-mir-6727"
"mirna","chr1",1312539,1312561,"MIMAT0027355","hsa-mir-6727-5p"
"mirna","chr1",1312502,1312521,"MIMAT0027356","hsa-mir-6727-3p"
"mirna_primary_transcript","chr1",1339650,1339708,"MI0022653","hsa-mir-6808"
"mirna","chr1",1339682,1339703,"MIMAT0027516","hsa-mir-6808-5p"
"mirna","chr1",1339650,1339670,"MIMAT0027517","hsa-mir-6808-3p"
"mirna","chr1",3128009,3128025,"MIMAT0016883","hsa-mir-4251"
"mirna","chr1",3560710,3560730,"MIMAT0003214","hsa-mir-551a"
"mirna","chr1",5862711,5862732,"MIMAT0019778","hsa-mir-4689"
"mirna","chr1",6429844,6429862,"MIMAT0016886","hsa-mir-4252"
"mirna_primary_transcript","chr1",8866502,8866590,"MI0022573","hsa-mir-6728"
"mirna","chr1",8866563,8866585,"MIMAT0027357","hsa-mir-6728-5p"
"mirna","chr1",8866502,8866522,"MIMAT0027358","hsa-mir-6728-3p"
"mirna_primary_transcript","chr1",9151668,9151777,"MI0000268","hsa-mir-34a"
"mirna","chr1",9151735,9151756,"MIMAT0000255","hsa-mir-34a-5p"
"mirna","chr1",9151693,9151714,"MIMAT0004557","hsa-mir-34a-3p"
"mirna","chr1",9967390,9967411,"MIMAT0022490","hsa-mir-5697"
"mirna_primary_transcript","chr1",12029158,12029222,"MI0022574","hsa-mir-6729"
"mirna","chr1",12029163,12029184,"MIMAT0027359","hsa-mir-6729-5p"
"mirna","chr1",12029202,12029222,"MIMAT0027360","hsa-mir-6729-3p"
"mirna_primary_transcript","chr1",12166943,12167038,"MI0025516","hsa-mir-7846"
"mirna","chr1",12167010,12167030,"MIMAT0030421","hsa-mir-7846-3p"
"mirna_primary_transcript","chr1",12191713,12191773,"MI0017259","hsa-mir-4632"
